# time[sec] ratio
3.316389999999999873e+03 2.161206196887233838e-02
3.317389999999999873e+03 2.141004122979873678e-02
3.318389999999999873e+03 2.128959896908446531e-02
3.319389999999999873e+03 2.164326156430471104e-02
3.320389999999999873e+03 2.145941298617846243e-02
3.321389999999999873e+03 2.156003325496366058e-02
3.322400000000000091e+03 2.158936130227396763e-02
3.323389999999999873e+03 2.152132606704907150e-02
3.324389999999999873e+03 2.180868864927743705e-02
3.325389999999999873e+03 2.159824738391007831e-02
3.326389999999999873e+03 2.175090074895745865e-02
3.327389999999999873e+03 2.190415245868872207e-02
3.328389999999999873e+03 2.165717884958103315e-02
3.329389999999999873e+03 2.204506003722636956e-02
3.330389999999999873e+03 2.192563489692261544e-02
3.331389999999999873e+03 2.171662508030898150e-02
3.332389999999999873e+03 2.215895777543993792e-02
3.333389999999999873e+03 2.193900289751172378e-02
3.334389999999999873e+03 2.189274316098079737e-02
3.335389999999999873e+03 2.215274169369240570e-02
3.336389999999999873e+03 2.200074635777406543e-02
3.337389999999999873e+03 2.221693735845003265e-02
3.338389999999999873e+03 2.212472806381435633e-02
3.339389999999999873e+03 2.210657548972766798e-02
3.340389999999999873e+03 2.242067013898227032e-02
3.341389999999999873e+03 2.217308111367496601e-02
3.342389999999999873e+03 2.239040430817253874e-02
3.343389999999999873e+03 2.247377721190630534e-02
3.344389999999999873e+03 2.223517600477623035e-02
3.345389999999999873e+03 2.266111155623214135e-02
3.346389999999999873e+03 2.248230423362863190e-02
3.347389999999999873e+03 2.227998491511784182e-02
3.348389999999999873e+03 2.267562127820241594e-02
3.349389999999999873e+03 2.248657386458358109e-02
3.350389999999999873e+03 2.255961384133007772e-02
3.351389999999999873e+03 2.272794221103271312e-02
3.352389999999999873e+03 2.260812577982532212e-02
3.353389999999999873e+03 2.288727388340167090e-02
3.354389999999999873e+03 2.270526198967578319e-02
3.355389999999999873e+03 2.274422242935194433e-02
3.356389999999999873e+03 2.298892845154174372e-02
3.357389999999999873e+03 2.275095891150423835e-02
3.358389999999999873e+03 2.307086968387400683e-02
3.359389999999999873e+03 2.305579450597209507e-02
3.360389999999999873e+03 2.283441884142598313e-02
3.361389999999999873e+03 2.330792555040209213e-02
3.362389999999999873e+03 2.310072481130944974e-02
3.363389999999999873e+03 2.297244665671543604e-02
3.364389999999999873e+03 2.330802171957601157e-02
3.365389999999999873e+03 2.312187506529713929e-02
3.366389999999999873e+03 2.331945610005942832e-02
3.367389999999999873e+03 2.330081878185312136e-02
3.368389999999999873e+03 2.320790922743200257e-02
3.369389999999999873e+03 2.353431723315444271e-02
3.370389999999999873e+03 2.328915299641724779e-02
3.371389999999999873e+03 2.346971464023551654e-02
3.372389999999999873e+03 2.363920112913766094e-02
3.373389999999999873e+03 2.339303845097172666e-02
3.374389999999999873e+03 2.384583826193720571e-02
3.375389999999999873e+03 2.371586420364055203e-02
3.376389999999999873e+03 2.346334578016458575e-02
3.377389999999999873e+03 2.390915739497410236e-02
3.378400000000000091e+03 2.367601068459437505e-02
3.379389999999999873e+03 2.370482987611769246e-02
3.380400000000000091e+03 2.392849400855060968e-02
3.381389999999999873e+03 2.377826098741412861e-02
3.382389999999999873e+03 2.404113538219448953e-02
3.383389999999999873e+03 2.385075727154493258e-02
3.384389999999999873e+03 2.384259175949086235e-02
3.385389999999999873e+03 2.417420311786889695e-02
3.386389999999999873e+03 2.389952016708627933e-02
3.387389999999999873e+03 2.413558560582236209e-02
3.388389999999999873e+03 2.419795058274499394e-02
3.389389999999999873e+03 2.397340777638330353e-02
3.390389999999999873e+03 2.444529397125801140e-02
3.391389999999999873e+03 2.426106113456949140e-02
3.392389999999999873e+03 2.408799474046105157e-02
